Time;Roll;Pitch;Yaw;Depth;Voltage;HoldDepth;HoldHeading;Manual;Humidity;Temperature;CameraTilt;LightLevel;PowerLevel;WaterTemperature;lat;lng
11:21:36;0,87;0,62;-124,2;-0,1;12;0;0;Manual;51;40;0;0;40;33;16,0544;108,2022
11:21:37;0,87;0,62;-124,2;-0,1;12;0;0;Manual;51;40;0;0;40;33
11:21:38;0,86;0,6;-124,21;-0,1;12;0;0;Manual;51;40;0;0;40;33
11:21:39;0,86;0,59;-124,18;-0,1;12;0;0;Manual;51;40;0;0;40;33
11:21:40;0,85;0,6;-124,21;-0,1;12;0;0;Manual;51;40;0;0;40;33
11:21:41;0,84;0,56;-124,2;-0,1;12;0;0;Manual;51;40;0;0;40;33
11:21:42;0,85;0,51;-124,21;-0,1;12;0;0;Manual;51;40;0;0;40;33
11:21:43;0,85;0,53;-124,23;-0,1;12;0;0;Manual;51;40;0;0;40;33
11:21:44;0,86;0,58;-124,22;-0,1;12;0;0;Manual;51;40;0;0;40;33
11:21:45;0,86;0,62;-124,2;-0,1;12;0;0;Manual;51;40;0;0;40;33
11:21:46;0,85;0,55;-124,18;-0,1;12;0;0;Manual;51;40;0;0;40;33
11:21:47;0,85;0,55;-124,18;-0,1;12;0;0;Manual;51;40;0;0;40;33
11:21:48;0,84;0,58;-124,17;-0,1;12;0;0;Manual;51;40;0;0;40;33
11:21:49;0,86;0,53;-124,16;-0,1;12;0;0;Manual;51;40;0;0;40;33
11:21:50;0,86;0,58;-124,17;-0,1;12;0;0;Manual;51;40;0;0;40;33
11:21:51;0,87;0,55;-124,22;-0,1;12;0;0;Manual;51;40;0;0;40;33
11:21:52;0,86;0,51;-124,22;-0,1;12;0;0;Manual;51;40;0;0;40;33
11:21:53;0,85;0,54;-124,19;-0,1;12;0;0;Manual;51;40;0;0;40;33
11:21:54;0,84;0,58;-124,25;-0,1;12;0;0;Manual;51;40;0;0;40;33
11:21:55;0,85;0,57;-124,35;-0,1;12;0;0;Manual;51;40;0;0;40;33
11:21:56;0,85;0,6;-124,4;-0,1;12;0;0;Manual;51;40;0;0;40;33
11:21:57;0,86;0,55;-124,52;-0,1;12;0;0;Manual;51;40;0;0;40;33
11:21:58;0,85;0,53;-124,6;-0,1;12;0;0;Manual;51;40;0;0;40;33
11:21:59;0,85;0,58;-124,61;-0,1;12;0;0;Manual;51;40;0;0;40;33
11:22:00;0,86;0,59;-124,64;-0,1;12;0;0;Manual;51;40;0;0;40;33
11:22:01;0,84;0,55;-124,71;-0,1;12;0;0;Manual;51;40;0;0;40;33
11:22:02;0,85;0,58;-124,76;-0,1;12;0;0;Manual;51;40;0;0;50;33
11:22:03;0,85;0,58;-124,76;-0,1;12;0;0;Manual;51;40;0;0;50;33
11:22:04;0,84;0,52;-124,91;-0,1;12;0;0;HeadingHold;51;40;0;0;50;33
11:22:05;0,84;0,54;-124,93;-0,1;12;0;HeadingHold;HeadingHold;51;40;0;0;50;33
11:22:06;0,83;0,61;-124,93;-0,1;12;0;HeadingHold;Manual;51;40;0;0;50;33
11:22:07;0,83;0,63;-124,86;-0,1;12;0;0;Manual;51;40;0;0;50;33
11:22:08;0,84;0,6;-124,83;-0,1;12;DepthHold;0;DepthHold;51;40;0;0;50;33
11:22:09;0,85;0,64;-124,82;-0,1;12;DepthHold;0;DepthHold;51;40;0;0;50;33
